p0,p1,n,p0_m,p1_m,tts_p*,rts_p*,cb_p*,ucb_p*
0.1,0.1,200.0,0.0,0.0,0.5,0.5,0.5,0.5
0.1,0.1,200.0,0.1,0.1,0.5,0.51,0.5,0.5
0.1,0.1,200.0,0.2,0.2,0.5,0.5,0.5,0.5
0.1,0.1,200.0,0.3,0.3,0.5,0.49,0.5,0.5
0.1,0.1,200.0,0.4,0.4,0.5,0.5,0.5,0.5
0.1,0.1,200.0,0.5,0.5,0.5,0.51,0.51,0.5
0.1,0.1,200.0,0.0,0.0,0.5,0.5,0.5,0.5
0.1,0.1,200.0,0.1,0.0,0.5,0.51,0.5,0.5
0.1,0.1,200.0,0.2,0.0,0.5,0.51,0.51,0.5
0.1,0.1,200.0,0.3,0.0,0.5,0.5,0.51,0.5
0.1,0.1,200.0,0.4,0.0,0.51,0.52,0.51,0.5
0.1,0.1,200.0,0.5,0.0,0.51,0.51,0.52,0.5
0.1,0.1,200.0,0.0,0.0,0.5,0.5,0.5,0.5
0.1,0.1,200.0,0.0,0.1,0.5,0.5,0.49,0.5
0.1,0.1,200.0,0.0,0.2,0.5,0.49,0.49,0.5
0.1,0.1,200.0,0.0,0.3,0.5,0.49,0.49,0.5
0.1,0.1,200.0,0.0,0.4,0.51,0.49,0.48,0.5
0.1,0.1,200.0,0.0,0.5,0.5,0.5,0.48,0.5
0.5,0.5,200.0,0.0,0.0,0.5,0.49,0.49,0.5
0.5,0.5,200.0,0.1,0.1,0.5,0.51,0.5,0.5
0.5,0.5,200.0,0.2,0.2,0.5,0.52,0.5,0.5
0.5,0.5,200.0,0.3,0.3,0.5,0.51,0.51,0.5
0.5,0.5,200.0,0.4,0.4,0.51,0.48,0.49,0.5
0.5,0.5,200.0,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,200.0,0.0,0.0,0.5,0.5,0.5,0.5
0.5,0.5,200.0,0.1,0.0,0.5,0.51,0.5,0.5
