p0,p1,n,p0_m,p1_m,tts_p*,rts_p*,cb_p*,ucb_p*
0.1,0.1,200.0,0.0,0.0,0.5,0.5,0.51,0.5
0.1,0.1,200.0,0.1,0.1,0.5,0.5,0.5,0.5
0.1,0.1,200.0,0.2,0.2,0.5,0.49,0.5,0.5
0.1,0.1,200.0,0.3,0.3,0.5,0.5,0.5,0.5
0.1,0.1,200.0,0.4,0.4,0.5,0.51,0.5,0.5
0.1,0.1,200.0,0.5,0.5,0.5,0.5,0.5,0.5
0.1,0.1,200.0,0.0,0.0,0.5,0.5,0.5,0.5
0.1,0.1,200.0,0.1,0.0,0.5,0.51,0.49,0.47
0.1,0.1,200.0,0.2,0.0,0.5,0.5,0.48,0.45
0.1,0.1,200.0,0.3,0.0,0.5,0.49,0.46,0.41
0.1,0.1,200.0,0.4,0.0,0.5,0.48,0.46,0.38
0.1,0.1,200.0,0.5,0.0,0.49,0.48,0.44,0.34
0.1,0.1,200.0,0.0,0.0,0.5,0.51,0.49,0.5
0.1,0.1,200.0,0.0,0.1,0.5,0.51,0.51,0.53
0.1,0.1,200.0,0.0,0.2,0.5,0.5,0.52,0.55
0.1,0.1,200.0,0.0,0.3,0.5,0.5,0.53,0.59
0.1,0.1,200.0,0.0,0.4,0.51,0.51,0.55,0.62
0.1,0.1,200.0,0.0,0.5,0.51,0.52,0.56,0.66
0.5,0.5,200.0,0.0,0.0,0.5,0.5,0.5,0.5
0.5,0.5,200.0,0.1,0.1,0.5,0.51,0.5,0.5
0.5,0.5,200.0,0.2,0.2,0.49,0.51,0.5,0.5
0.5,0.5,200.0,0.3,0.3,0.5,0.51,0.5,0.5
0.5,0.5,200.0,0.4,0.4,0.5,0.51,0.5,0.5
0.5,0.5,200.0,0.5,0.5,0.5,0.5,0.51,0.5
0.5,0.5,200.0,0.0,0.0,0.51,0.5,0.5,0.5
0.5,0.5,200.0,0.1,0.0,0.5,0.52,0.51,0.47
0.5,0.5,200.0,0.2,0.0,0.5,0.51,0.51,0.45
0.5,0.5,200.0,0.3,0.0,0.5,0.49,0.5,0.41
0.5,0.5,200.0,0.4,0.0,0.5,0.51,0.5,0.38
0.5,0.5,200.0,0.5,0.0,0.5,0.52,0.51,0.34
0.5,0.5,200.0,0.0,0.0,0.5,0.5,0.5,0.5
0.5,0.5,200.0,0.0,0.1,0.5,0.51,0.5,0.53
0.5,0.5,200.0,0.0,0.2,0.5,0.49,0.51,0.55
0.5,0.5,200.0,0.0,0.3,0.5,0.49,0.5,0.58
0.5,0.5,200.0,0.0,0.4,0.5,0.5,0.49,0.62
0.5,0.5,200.0,0.0,0.5,0.5,0.49,0.51,0.66
0.9,0.9,200.0,0.0,0.0,0.5,0.49,0.5,0.5
